iter	Logloss
0	0.6724945112
1	0.6529466444
2	0.6362915014
3	0.619482753
4	0.6037139063
5	0.5894873311
6	0.5768947478
7	0.5644900932
8	0.5539212526
9	0.5435583962
10	0.5335425998
11	0.5248587253
12	0.5176391454
13	0.5092638775
14	0.5017282419
15	0.4948349689
16	0.4891464615
17	0.4825266031
18	0.4778915456
19	0.4720156902
20	0.4674096453
21	0.4636017731
22	0.4587830583
23	0.4540985776
24	0.4508836901
25	0.4471357294
26	0.4438051111
27	0.4406395183
28	0.4373892075
29	0.4343955668
30	0.4319853162
31	0.4288397765
32	0.4265537932
33	0.4235244655
34	0.4215661865
35	0.4196274152
36	0.4180520293
37	0.415984374
38	0.4139453743
39	0.4122259085
40	0.410555891
41	0.4091808701
42	0.4072950992
43	0.40562684
44	0.4040029997
45	0.402681404
46	0.4013102325
47	0.4000660951
48	0.3979697404
49	0.396205803
50	0.3949927065
51	0.3936620763
52	0.3925647582
53	0.391232462
54	0.3898588927
55	0.388394185
56	0.3872743451
57	0.3860123449
58	0.3844496878
59	0.3836397919
60	0.3825697634
61	0.38171217
62	0.3810257878
63	0.3804004328
64	0.3793825194
65	0.3783398282
66	0.3774004514
67	0.3767384668
68	0.3759810453
69	0.3752049835
70	0.3744175823
71	0.3735469946
72	0.3725290415
73	0.3715519836
74	0.3703798109
75	0.3694792331
76	0.3685488533
77	0.3678174832
78	0.3668894461
79	0.3661954328
80	0.3655255802
81	0.3648896157
82	0.3642231192
83	0.3635748086
84	0.3630922672
85	0.3623480879
86	0.3616407981
87	0.3607914517
88	0.3600924805
89	0.3592623841
90	0.358756329
91	0.3583718344
92	0.3579174708
93	0.3575041252
94	0.3567612057
95	0.3561416222
96	0.3553969795
97	0.3548780161
98	0.3543853092
99	0.3537529196
100	0.3531674876
101	0.3524463355
102	0.3519548179
103	0.3515489186
104	0.3511576891
105	0.3506810322
106	0.350320081
107	0.3498514853
108	0.3493946429
109	0.3489971412
110	0.3484462186
111	0.3476956872
112	0.3475133086
113	0.3470618154
114	0.3463794121
115	0.3460711473
116	0.3455438284
117	0.345008076
118	0.3446623945
119	0.3440012474
120	0.3436318439
121	0.3430701368
122	0.3419257183
123	0.3415723979
124	0.3414307599
125	0.3409210772
126	0.3404648651
127	0.3402539052
128	0.3397895211
129	0.3392634843
130	0.3388118253
131	0.3386014496
132	0.3383491125
133	0.337978414
134	0.3375955151
135	0.3370813336
136	0.3368638868
137	0.3365475106
138	0.3359575381
139	0.3357034146
140	0.3355103286
141	0.3352700072
142	0.3350441849
143	0.3347578949
144	0.3345065911
145	0.3342606238
146	0.3339736143
147	0.3336168708
148	0.3332132641
149	0.3327800065
150	0.3324037808
151	0.3316348344
152	0.3314063449
153	0.3309530481
154	0.3306851037
155	0.3303606979
156	0.3301630432
157	0.3298898657
158	0.3297228468
159	0.3294329013
160	0.3292309765
161	0.3289288068
162	0.3286486441
163	0.3284932845
164	0.3282317795
165	0.3281084026
166	0.3278799747
167	0.3274325576
168	0.3271943355
169	0.3269844344
170	0.3268267885
171	0.3266380535
172	0.3263519011
173	0.3258834674
174	0.3257963318
175	0.3256468471
176	0.3255410378
177	0.325271848
178	0.3250856207
179	0.3246823658
180	0.3244688152
181	0.3239702637
182	0.3237053338
183	0.3234874044
184	0.323117615
185	0.322877714
186	0.3227376737
187	0.3225941461
188	0.3221794262
189	0.3220369227
190	0.3218684811
191	0.3216133788
192	0.3213507545
193	0.3211083291
194	0.3208914906
195	0.320698792
196	0.3204839252
197	0.3202499087
198	0.320079195
199	0.3199317628
200	0.3197774792
201	0.3196187334
202	0.3193685588
203	0.3191371981
204	0.3188848364
205	0.3186818729
206	0.3180359445
207	0.3178990902
208	0.3177286217
209	0.3174600018
210	0.317285321
211	0.3170890442
212	0.3168836318
213	0.3168068791
214	0.3166912255
215	0.3165381091
216	0.3162675539
217	0.3160984411
218	0.3151834021
219	0.3150655343
220	0.314791795
221	0.3145936964
222	0.3144443187
223	0.3140826561
224	0.3139122505
225	0.3133221281
226	0.3131253078
227	0.3128424863
228	0.3125219253
229	0.3123144837
230	0.3120822976
231	0.3118807524
232	0.3117542508
233	0.3115396414
234	0.3114347786
235	0.3113075365
236	0.310954743
237	0.3107802427
238	0.3106467638
239	0.3105451428
240	0.3104055895
241	0.3099961431
242	0.3096479584
243	0.3094646532
244	0.3092874996
245	0.3090272895
246	0.3089263696
247	0.3087735647
248	0.3084972606
249	0.3083138784
250	0.3081744183
251	0.3080288716
252	0.3077649295
253	0.3076380777
254	0.3074548539
255	0.3072201025
256	0.3068903133
257	0.3067561901
258	0.3065469545
259	0.3063872237
260	0.3060957001
261	0.3058210023
262	0.3056971174
263	0.304750032
264	0.3045913224
265	0.3043830621
266	0.3042810023
267	0.3040553143
268	0.3039475937
269	0.3038214131
270	0.3036123367
271	0.303388506
272	0.3032275327
273	0.30300468
274	0.3027861631
275	0.3026662228
276	0.3024984059
277	0.3023735971
278	0.3022449507
279	0.3019615778
280	0.3017938772
281	0.3015882482
282	0.3014554028
283	0.3011847482
284	0.3008016352
285	0.300654448
286	0.3002830059
287	0.2998281334
288	0.2990394786
289	0.2988201205
290	0.2987069282
291	0.298648442
292	0.2985442365
293	0.2983174288
294	0.2979601682
295	0.2977741943
296	0.2975722253
297	0.2973704227
298	0.2972976468
299	0.2971705314
300	0.2970338731
301	0.2967973184
302	0.2966364653
303	0.2962820867
304	0.296143606
305	0.2959658006
306	0.2957503414
307	0.2953971917
308	0.2952692169
309	0.2949741854
310	0.2947631016
311	0.2944933111
312	0.294371998
313	0.2942021527
314	0.2938974291
315	0.2937242809
316	0.2934777441
317	0.2933754493
318	0.2928871727
319	0.2928197265
320	0.292567151
321	0.2924295984
322	0.2922891832
323	0.2921682622
324	0.292059437
325	0.2918847156
326	0.2915248287
327	0.2912502735
328	0.2910799766
329	0.2908564476
330	0.2907258525
331	0.2906093452
332	0.2904976922
333	0.2901271919
334	0.2899676041
335	0.2898406908
336	0.2896872253
337	0.2895230747
338	0.2893742888
339	0.2891968191
340	0.2886043341
341	0.2884108758
342	0.2878147524
343	0.2876095618
344	0.2874858675
345	0.2873652893
346	0.2872293464
347	0.2870895942
348	0.2865334376
349	0.2863844687
350	0.2860695021
351	0.2854122983
352	0.2850901853
353	0.2847954593
354	0.2846282565
355	0.2845354142
356	0.2843853929
357	0.284250584
358	0.2840423498
359	0.2831099538
360	0.2829292333
361	0.2827862095
362	0.2827119516
363	0.2824853787
364	0.2822767706
365	0.2820124996
366	0.2818649568
367	0.2816643749
368	0.2814704188
369	0.2810286334
370	0.2798615112
371	0.2796967015
372	0.278320012
373	0.2779347353
374	0.2776830918
375	0.27756309
376	0.2773286022
377	0.2769174845
378	0.2761230384
379	0.275948166
380	0.2757717868
381	0.2745692641
382	0.2743713453
383	0.2734964073
384	0.2733719665
385	0.2729007029
386	0.272699052
387	0.2725182554
388	0.2722199067
389	0.2720419893
390	0.2718250536
391	0.2716149885
392	0.2711865518
393	0.2706588397
394	0.2703860878
395	0.2700046971
396	0.269849842
397	0.2697226307
398	0.269470709
399	0.2693037657
400	0.2689519591
401	0.2688505821
402	0.2687012273
403	0.2685156527
404	0.2683587151
405	0.2679573648
406	0.267275285
407	0.2670965828
408	0.2669551239
409	0.2667857264
410	0.266667823
411	0.2661007915
412	0.2657671749
413	0.2656295372
414	0.2655430676
415	0.2654218342
416	0.2651254033
417	0.2648308725
418	0.2644396625
419	0.2642461412
420	0.2640866615
421	0.2639710364
422	0.2638101049
423	0.2635368312
424	0.2634269399
425	0.2632916854
426	0.2631689446
427	0.2628127785
428	0.2626984141
429	0.2626122428
430	0.2624937665
431	0.2623761243
432	0.2621250555
433	0.2619930581
434	0.2618816974
435	0.2617478648
436	0.2613992621
437	0.2612918124
438	0.261108835
439	0.2609980471
440	0.2609076279
441	0.2608385013
442	0.2607317382
443	0.2605978318
444	0.2604687112
445	0.2603700198
446	0.2602664058
447	0.2601538555
448	0.2597055646
449	0.2595732638
450	0.2589948149
451	0.2588481237
452	0.2587031564
453	0.258575992
454	0.2584475608
455	0.2583602328
456	0.2582318894
457	0.2581434714
458	0.2580022982
459	0.257879438
460	0.2572766772
461	0.2571266194
462	0.2568375054
463	0.2567417868
464	0.2566490479
465	0.2565857258
466	0.2564933552
467	0.2563238103
468	0.2558388939
469	0.2557260074
470	0.2555937503
471	0.2551914079
472	0.2550967237
473	0.2549867754
474	0.2548559704
475	0.2547788867
476	0.2546417542
477	0.2545454687
478	0.2542511787
479	0.2541071802
480	0.2536165093
481	0.253418419
482	0.2532981373
483	0.2532481334
484	0.2531009748
485	0.2529688893
486	0.2523948163
487	0.25231389
488	0.2522220263
489	0.2521444068
490	0.2519944254
491	0.2518312319
492	0.2517198691
493	0.2515854736
494	0.2510745277
495	0.250888719
