iter	Passed	Remaining
0	4	2109
1	8	2027
2	12	2076
3	15	1911
4	19	1923
5	22	1885
6	26	1873
7	30	1896
8	34	1876
9	38	1866
10	41	1838
11	45	1852
12	49	1840
13	53	1852
14	57	1847
15	61	1850
16	64	1843
17	68	1833
18	71	1822
19	75	1813
20	79	1817
21	83	1812
22	86	1796
23	90	1786
24	94	1796
25	97	1781
26	101	1778
27	104	1769
28	108	1760
29	112	1769
30	116	1761
31	120	1760
32	123	1751
33	127	1751
34	131	1747
35	135	1743
36	138	1735
37	142	1735
38	146	1731
39	151	1737
40	154	1734
41	159	1740
42	163	1736
43	167	1735
44	171	1732
45	175	1730
46	179	1725
47	182	1717
48	185	1709
49	189	1705
50	193	1703
51	197	1697
52	200	1695
53	204	1688
54	208	1690
55	212	1686
56	216	1683
57	220	1677
58	224	1674
59	227	1669
60	231	1665
61	235	1660
62	238	1654
63	242	1651
64	245	1646
65	249	1643
66	253	1636
67	257	1635
68	260	1630
69	265	1628
70	268	1624
71	272	1619
72	276	1615
73	279	1609
74	283	1603
75	286	1599
76	290	1597
77	294	1591
78	297	1587
79	301	1580
80	305	1578
81	309	1575
82	312	1571
83	316	1568
84	320	1564
85	324	1561
86	328	1558
87	332	1556
88	336	1553
89	340	1550
90	343	1545
91	347	1542
92	351	1538
93	356	1538
94	360	1535
95	364	1533
96	367	1528
97	372	1526
98	375	1521
99	379	1516
100	382	1511
101	387	1510
102	390	1505
103	393	1499
104	396	1493
105	400	1488
106	404	1486
107	408	1482
108	412	1480
109	416	1475
110	420	1473
111	424	1469
112	428	1467
113	431	1460
114	435	1458
115	439	1455
116	444	1454
117	447	1450
118	451	1447
119	455	1442
120	458	1437
121	462	1433
122	466	1429
123	470	1427
124	474	1423
125	478	1418
126	481	1414
127	485	1411
128	489	1407
129	493	1403
130	496	1398
131	500	1396
132	504	1392
133	508	1388
134	511	1384
135	515	1378
136	519	1375
137	522	1371
138	525	1365
139	528	1360
140	532	1356
141	536	1352
142	539	1348
143	544	1345
144	547	1340
145	551	1337
146	555	1333
147	559	1330
148	562	1325
149	566	1321
150	570	1317
151	574	1314
152	578	1311
153	582	1309
154	586	1305
155	590	1302
156	594	1298
157	598	1296
158	603	1293
159	606	1289
160	610	1285
161	614	1282
162	618	1279
163	622	1276
164	626	1272
165	630	1268
166	634	1264
167	638	1261
168	642	1258
169	646	1254
170	650	1250
171	653	1246
172	658	1244
173	662	1240
174	665	1236
175	668	1231
176	672	1226
177	675	1222
178	680	1219
179	683	1215
180	687	1212
181	691	1208
182	695	1204
183	699	1201
184	703	1197
185	706	1193
186	710	1189
187	714	1185
188	718	1181
189	722	1178
190	725	1174
191	730	1171
192	733	1167
193	738	1164
194	741	1160
