Model,Feature Set,Accuracy,Precision,F1 Score,AUC
Random Forest,All Features,0.857,0.8490166163814202,0.8429491141917583,0.8532139544838411
LightGBM,All Features,0.856,0.8468094159361765,0.8445914869187239,0.8515567406244797
Neural Network,All Features,0.854,0.8444707592810768,0.8418143108510453,0.866129818553661
XGBoost,All Features,0.85,0.8395832664977062,0.8389430894308942,0.8467471047061902
CatBoost,All Features,0.845,0.833540044132918,0.8331502664008329,0.8538798126084994
Neural Network,Top 5 Features,0.836,0.8232947906026558,0.8147673178349392,0.8351793060807116
SVM,All Features,0.836,0.8369834641131356,0.8024638478859144,0.8126783548548191
CatBoost,Top 5 Features,0.8325,0.8176784781847144,0.8164248301062694,0.8153209792870562
LightGBM,Top 5 Features,0.8295,0.8136557474271761,0.8110082279659735,0.8110724180162184
Random Forest,Top 5 Features,0.8255,0.8095763986512801,0.8110599372635193,0.8054386340396186
XGBoost,Top 5 Features,0.82,0.8030517094758047,0.8054868787191232,0.8035681374997027
Logistic Regression,All Features,0.811,0.7917305171630653,0.7691813953488371,0.7674906660959311
SVM,Top 5 Features,0.811,0.817688335638543,0.753328,0.7783561924805593
Logistic Regression,Top 5 Features,0.779,0.7039457044673539,0.7072507188468575,0.7396227200304393
