Resampling Strategy,Model,Best CV Recall,Best Parameters
Oversampling,CatBoost,0.9851284860472326,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 1000, 'depth': 8, 'class_weights': {0: 0.626017532874139, 1: 2.4838509316770185}}"
Oversampling,Random Forest,0.9680649458396597,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced'}"
SMOTE,CatBoost,0.9672807575462345,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'class_weights': {0: 0.626017532874139, 1: 2.4838509316770185}}"
Undersampling,CatBoost,0.9521739130434783,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'class_weights': {0: 0.626017532874139, 1: 2.4838509316770185}}"
Oversampling,LightGBM,0.9073281593327476,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 1000, 'max_depth': 20, 'learning_rate': 0.05, 'class_weight': 'balanced'}"
SMOTE,Random Forest,0.8949603126459096,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced'}"
Oversampling,XGBoost,0.8757056040235147,"{'subsample': 1.0, 'scale_pos_weight': 0.252035065748278, 'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
SMOTE,LightGBM,0.8728857614494064,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 1000, 'max_depth': 20, 'learning_rate': 0.05, 'class_weight': 'balanced'}"
SMOTE,XGBoost,0.8068231366796447,"{'subsample': 1.0, 'scale_pos_weight': 0.252035065748278, 'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
SMOTE,Neural Network,0.7701976585870395,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'early_stopping': True, 'alpha': 0.0001, 'activation': 'relu'}"
Oversampling,Neural Network,0.7551657285573705,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.001, 'activation': 'tanh'}"
Undersampling,LightGBM,0.7372670807453416,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 500, 'max_depth': 20, 'learning_rate': 0.01, 'class_weight': 'balanced'}"
Undersampling,Random Forest,0.7316770186335404,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': 'balanced'}"
Original,CatBoost,0.7217391304347827,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'class_weights': {0: 0.626017532874139, 1: 2.4838509316770185}}"
Undersampling,Neural Network,0.7118012422360249,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'early_stopping': True, 'alpha': 0.0001, 'activation': 'relu'}"
Original,LightGBM,0.7055900621118012,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 500, 'max_depth': 20, 'learning_rate': 0.01, 'class_weight': 'balanced'}"
Undersampling,XGBoost,0.6546583850931678,"{'subsample': 1.0, 'scale_pos_weight': 0.252035065748278, 'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
Original,Random Forest,0.6385093167701863,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': 'balanced'}"
Original,XGBoost,0.40869565217391307,"{'subsample': 1.0, 'scale_pos_weight': 0.252035065748278, 'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
Original,Neural Network,0.26521739130434785,"{'solver': 'adam', 'max_iter': 1500, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'early_stopping': True, 'alpha': 0.001, 'activation': 'relu'}"
